Title,Genres,Actors,Directors,Synopsis,Rating
Cinderella's Revenge,"Fantasy, Horror","Lauren Staerck, Natasha Henstridge, Stephanie Lodge",Andy Edwards,"Cinderella finds freedom from her wicked stepmother with the help of her fairy godmother. Only this time, they unleash a plan of bloody vengeance.",4.071
825 Forest Road,Horror,"Brian Anthony Wilson, Mike Sutton, Lorenzo Beronilla",Stephen Cognetti,"After a family tragedy, Chuck Wilson hopes to start a new life in Ashland Falls with his wife Maria and little sister Elizabeth, but he quickly discovers that the town has a dark history of being haunted by a ghostly woman who drives residents to suicide.",6.333
Black Bag,"Drama, Mystery, Thriller","Cate Blanchett, Michael Fassbender, Marisa Abela",Steven Soderbergh,"When intelligence agent Kathryn Woodhouse is suspected of betraying the nation, her husband – also a legendary agent – faces the ultimate test of whether to be loyal to his marriage, or his country.",6.397
Popeye the Slayer Man,Horror,"Sarah Nicklin, Scott Swope, Angela Relucio",Robert Michael Ryan,"A curious group of friends sneak into an abandoned spinach canning factory to film a documentary on the legend of the ""Sailor Man,"" who is said to haunt the factory and local docks.",6.134
The Life List,"Romance, Comedy, Drama","Sofia Carson, Kyle Allen, Sebastian de Souza",Adam Brooks,"When her mother sends her on a quest to complete a teenage bucket list, a young woman uncovers family secrets, finds romance — and rediscovers herself.",6.9
Counterattack,"Action, Adventure, Thriller","Luis Alberti, Noé Hernández, Leonardo Alonso",Chava Cartas,"When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.",8.382
Flight Risk,"Action, Crime, Thriller","Mark Wahlberg, Michelle Dockery, Topher Grace",Mel Gibson,"A U.S. Marshal escorts a government witness to trial after he's accused of getting involved with a mob boss, only to discover that the pilot who is transporting them is also a hitman sent to assassinate the informant. After they subdue him, they're forced to fly together after discovering that there are others attempting to eliminate them.",6.1
Snow White,"Family, Fantasy","Rachel Zegler, Gal Gadot, Andrew Burnap",Marc Webb,"Princess Snow White flees the castle when the Evil Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young thief named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom in the process.",4.537
Hellhound,"Action, Crime, Thriller","Louis Mandylor, Vithaya Pansringarm, Van Quattro",Joshua Dixon,"Ready to leave his profession behind, Loreno, an assassin, lends help to an old friend, Cetan, and taking one last job in Thailand seeking out a local kingpin. A lapse in judgment means Loreno crosses paths with old colleague Paul.",6.338
Dark Match,"Action, Horror","Ayisha Issa, Steven Ogg, Mo Jabari",Lowell Dean,"A small-time wrestling company accepts a well-paying gig in a backwoods town only to learn, too late, that the community is run by a mysterious cult leader with devious plans for their match.",4.818
Breathing In,"Horror, Thriller, Drama","Michele Burgers, Sven Ruygrok, Jamie-Lee Money",Jaco Bouwer,"1901, South Africa. As the Second Anglo-Boer War rages on, a wounded General seeks refuge in the small home of a woman and her young daughter. As the hurt man settles in, he begins noticing that something is off about the two women, particularly the daughter, and before long, he’ll learn the real reason for why they’ve invited him and for how they’ve survived on their own for so long.",5.0
Old Guy,"Action, Comedy","Christoph Waltz, Lucy Liu, Cooper Hoffman",Simon West,"Stuck at a dead end but vying for the love of spunky club manager Anata, aging contract killer Danny Dolinski is thrilled when The Company pulls him back in the field, but only to train Gen Z newcomer Wihlborg, a prodigy assassin with an attitude.",5.575
